Area,Metric,Firm,,,Equity Partner,,,Partner,,,Associate,,
,,Meaning,How to measure,Focus / target lens,Meaning,How to measure,Focus / target lens,Meaning,How to measure,Focus / target lens,Meaning,How to measure,Focus / target lens
Financial health,Total revenue,Absolute top-line fee income for the whole firm.,Sum of fee income from the finance/accounting system.,"Grow the absolute size of the business, not just per-unit ratios.",Proxy: total fee revenue generated/originated by this equity partner.,Revenue credited to the equity partner (origination + responsibility) in the finance system.,Grow the book's absolute revenue.,Proxy: total fee revenue on matters this partner leads.,Fee revenue tagged to matters this partner leads.,Build absolute fee contribution.,Proxy: total fees generated from own recorded time.,Fees billed/collected against the associate's recorded time.,Grow personal fee contribution year on year.
Financial health,Total profit,Absolute net / distributable profit for the whole firm.,Net/distributable profit from management accounts.,"Grow the bottom line, not only margin ratios.",Proxy: net contribution to the equity pool after cost of team.,Partner contribution report: revenue credited minus attributed team cost.,Maximise absolute net contribution.,Proxy: net margin contribution after cost of matters/team.,Matter P&L: matter revenue minus attributed cost.,Run matters to a healthy absolute margin.,Proxy: contribution margin on own hours (collected value minus cost of time).,Collected value on own hours minus loaded cost-to-firm.,Generate value well above own cost-to-firm.
Financial health,Total operating cost,"Absolute total cost of running the firm (people, premises, tech, admin).","Total expense base from management accounts (people, premises, tech, admin).",Keep absolute cost growth below revenue growth.,Proxy: cost of the partner-owner's team/practice.,Cost centre/practice cost allocation for the partner's team.,Manage the cost base of the book.,Proxy: cost of resources on managed matters.,Cost attributed to matters (time cost + disbursements).,Staff and resource matters cost-effectively.,Proxy: own cost-to-firm (compensation + attributed overhead).,HR/finance: loaded cost (comp + overhead allocation).,Be aware of own cost base relative to output.
Financial health,Cost-to-revenue ratio,Total operating cost as a percentage of revenue; overall efficiency.,Total operating cost / total revenue from management accounts.,Drive the cost ratio down over time.,Proxy: book's cost base vs its revenue.,Practice cost / practice revenue.,Keep the practice efficient.,Proxy: matter cost vs matter revenue.,Matter cost / matter revenue.,Protect matter-level efficiency.,Proxy: own cost vs fees generated.,Own loaded cost / own fees generated.,Keep personal cost well below fees generated.
Financial health,Compensation / people-cost ratio,Total compensation (below equity) as a share of revenue.,Total non-equity compensation / revenue from payroll + finance.,Manage the largest cost lever against revenue.,Proxy: team compensation vs book revenue.,Team compensation / book revenue.,Right-size team cost to the book.,Proxy: cost of supervised staff vs matter revenue.,Cost of supervised staff / matter revenue.,Staff matters at the right cost level.,Proxy: own compensation vs fees generated.,Own compensation / own fees generated.,Generate fees that comfortably cover own comp.
Financial health,Cost per fee-earner,Total operating cost / fee-earner headcount.,Total operating cost / fee-earner headcount (HR + finance).,Control overhead carried per fee-earner.,Proxy: book cost / fee-earners in the practice.,Practice cost / fee-earners in the practice.,Keep per-head cost efficient.,Proxy: support cost per supervised fee-earner.,Support/staff cost / supervised fee-earners.,Resource the team efficiently per head.,Proxy: own attributed overhead.,Own attributed overhead from cost allocation.,Be mindful of overhead carried.
Financial health,Fixed-fee revenue share,Fixed-fee revenue as a percentage of total fee revenue; revenue-mix and delivery-risk signal (not a profitability measure).,"Finance system: fixed-fee mandate revenue / total fee revenue, by tag.",Monitor mix and the delivery risk that fixed pricing transfers to the firm.,Not directly measured | rolls up to firm and partner level.,Rolls up.,—,Fixed-fee share of this partner's own book.,Partner's fixed-fee matter revenue / partner's total book revenue.,Price fixed-fee mandates with delivery risk in mind.,Not directly measured | rolls up.,Rolls up.,—
Financial health,Realization rate,Firm-wide gap between work done and cash collected.,"Billing system: (hours billed/worked) and (collected/billed), firm aggregate.",Track billing + collection realization in aggregate; protect the firm margin.,Realization across matters this partner-owner is accountable for.,Same ratios filtered to the partner's book.,Own the economics of the book; minimise discounting and write-offs.,Realization on matters this partner runs day to day.,Same ratios on matters the partner runs.,Bill promptly and accurately; flag scope creep early.,Realization on the hours this associate records.,Worked-vs-billed on the associate's own recorded hours.,Record time accurately and completely; avoid hours that get written down.
Financial health,Utilization rate,Aggregate billable capacity used across all fee-earners.,"Time system: billable hours / target capacity, all fee-earners.",Balance capacity vs over/under-utilisation firm-wide.,Own billable contribution plus team utilisation oversight.,Own billable hours plus team utilisation roll-up.,Lead by example; keep the practice's capacity productive.,Own billable hours plus utilisation of supervised associates.,Own billable hours plus supervised-associate utilisation.,Hit personal target while keeping juniors well-fed with work.,Billable hours against personal target.,Own billable hours / personal target.,Meet the billable-hour target without padding.
Financial health,Leverage ratio,Fee-earners per equity partner across the firm.,HR headcount: fee-earners / equity partners.,Optimise the pyramid for margin and training capacity.,Associates/partners working under this equity partner's book.,Headcount under the equity partner / 1.,Build leverage so the book scales beyond personal hours.,Associates this partner effectively leverages on matters.,Associates effectively supervised on matters.,Delegate appropriately; push work to the right level.,Proxy: appropriate work level — share of work done at the correct (not over-) seniority.,Work-level review: share of work done at correct grade.,Take on work suited to grade; escalate only what needs it.
Financial health,Profit per equity partner,Net profit divided by equity partners; headline profitability.,Net profit / number of equity partners (finance).,"Grow PEP through margin, leverage, and realisation.",Personal profit contribution to the equity pool.,Individual contribution report for the equity partner.,Maximise net contribution after cost of the team.,Proxy: matter margin contribution to the firm.,Matter margin contribution from matter P&L.,Run matters profitably; control disbursements and write-offs.,Proxy: contribution margin on own hours (collected value minus cost of time).,Contribution margin on own hours from time + cost data.,Generate value well above own cost-to-firm.
Financial health,Revenue per lawyer,Total revenue / fee-earner headcount.,Total revenue / fee-earner headcount.,Benchmark productivity vs peer firms.,Revenue generated by this equity partner's practice / its headcount.,Practice revenue / practice fee-earners.,Grow practice revenue faster than headcount.,Revenue on matters led / hours invested.,Revenue on led matters / hours invested.,Drive fee value per hour worked.,Proxy: fees generated from own recorded time.,Own fees generated from recorded time.,Convert recorded time into realised fees efficiently.
Financial health,Average billing rate (effective),"Effective realised rate: fees actually earned per billable hour after discounts, write-downs and non-collection. Revenue and hours should cover the same body of time-based work.",Collected fees on time-based work / billable hours on that work.,Protect the realised rate; watch the gap vs the rate card.,Effective realised rate across the partner's book.,"Same, filtered to the partner's book.",Defend premium pricing on high-value work.,Effective realised rate on matters this partner bills.,"Same, on matters this partner bills.",Avoid unnecessary discounting on own matters.,Proxy: effective realised rate on own hours.,Effective realised rate on own recorded hours.,Ensure recorded hours bill at or near full value.
Financial health,Revenue per billable hour,"Total revenue / total reported billable hours, all mandate types (incl. fixed-fee); blended yield per billable hour worked.",Total revenue / total reported billable hours (all mandates).,Track yield per hour of billable effort regardless of pricing model.,Yield per billable hour across the equity partner's book.,Book revenue / book billable hours.,Grow yield on billable effort.,Yield per billable hour on managed matters.,Matter revenue / matter billable hours.,Drive value per hour worked.,Yield per own reported billable hour.,Own attributed revenue / own billable hours.,Generate strong value per billable hour recorded.
Financial health,Revenue per available hour (capacity yield),Total revenue / total available fee-earner person-hours; yield on capacity (folds in utilization).,Total revenue / total available fee-earner hours (capacity model).,Extract more revenue per hour of capacity paid for.,Capacity yield across the equity partner's team.,Book revenue / team available hours.,Convert team capacity into revenue.,Capacity yield across supervised fee-earners.,Supervised revenue / supervised available hours.,Keep capacity productively deployed.,Revenue vs own available hours.,Own attributed revenue / own available hours.,Convert available capacity into billed value.
Financial health,Write-downs,"Value cut from WIP before/at billing (inefficiency, scoping); erodes billing realization.","Billing system: pre-bill WIP reductions, firm total.",Reduce avoidable pre-bill write-downs.,Write-downs on the partner-owner's book.,Pre-bill reductions on the partner's book.,Own scoping and pricing to limit write-downs.,Write-downs on managed matters.,Pre-bill reductions on managed matters.,Tighten scoping to reduce write-downs.,Proxy: share of own recorded hours later written down.,Share of own recorded hours written down pre-bill.,"Record clean, defensible time that survives review."
Financial health,Write-offs,Value cut from issued invoices that won't collect; erodes collection realization.,"Billing system: post-bill invoice reductions, firm total.",Reduce avoidable post-bill write-offs.,Write-offs on the partner-owner's book.,Post-bill reductions on the partner's book.,Manage billing/collection to limit write-offs.,Write-offs on managed matters.,Post-bill reductions on managed matters.,Bill accurately to avoid disputes and write-offs.,Proxy: own work later written off post-billing.,Own billed work later written off.,Produce work that bills and collects cleanly.
Financial health,Total write-downs + write-offs,Combined value lost from WIP and invoices; total realization leakage.,"Sum of write-down and write-off rows, firm total.",Minimise total leakage between work done and cash collected.,Total leakage on the partner-owner's book.,Sum on the partner's book.,Own the full leakage picture for the book.,Total leakage on managed matters.,Sum on managed matters.,Reduce combined leakage on own matters.,Proxy: own combined write-down + write-off exposure.,Sum on own work.,Keep total leakage on own work low.
Financial health,Lockup,Firm-wide WIP days + debtor days; cash tied up.,"Finance: WIP days + debtor days, firm aggregate.",Shorten the cash cycle across the firm.,Lockup on the partner-owner's book.,Lockup on the partner's book.,Bill and collect promptly; manage client payment behaviour.,Lockup on managed matters (WIP + unbilled).,WIP + unbilled on managed matters.,"Convert WIP to bills, bills to cash, quickly.",Proxy: time-recording lag (days between work and entry).,Days between work done and time entered.,Enter time daily so billing isn't delayed.
Client and matter,Total clients,Count of active clients firm-wide.,CRM: count of active clients firm-wide.,Grow the active client base.,Active clients in the equity partner's book.,CRM: active clients in the partner's book.,Grow and retain the client roster.,Active clients this partner services.,CRM: active clients serviced.,Build a broader client base.,Proxy: distinct clients worked for.,Distinct clients worked for (time/matter records).,Gain exposure across multiple clients.
Client and matter,Total matter count,Count of active/open matters firm-wide.,Matter system: open/active matters firm-wide.,Track absolute matter volume and load.,Open matters across the equity partner's book.,Open matters in the partner's book.,Manage book volume against capacity.,Open matters this partner manages.,Open matters managed.,Balance matter load with quality.,Proxy: matters actively worked.,Matters actively worked (time records).,Carry an appropriate matter load.
Client and matter,Client retention rate,"Share of clients retained year over year, firm-wide.",CRM: active clients this year vs prior year.,Build durable relationships; reduce churn.,Retention across this equity partner's client portfolio.,"Same, for the partner's portfolio.",Own senior client relationships and renewals.,Retention of clients this partner services.,"Same, for clients serviced.",Deliver consistently so clients return.,Proxy: repeat-instruction rate on matters worked.,Repeat-instruction rate on matters worked.,Earn re-instruction through reliable delivery.
Client and matter,Cohort revenue retention,"NRR-style view: revenue from each client-acquisition cohort (Y-1, Y-2/3, beyond Y-3) tracked over time. Lumpy legal revenue means read it as a multi-year trend, not a single-year percentage.","Finance + CRM: tag clients by acquisition year; track cohort revenue (Y-1, Y-2/3, >Y-3) across years.","Watch whether older cohorts grow, hold, or decay over time.",Cohort revenue trend within the equity partner's book.,Cohort revenue trend within the partner's book.,Grow revenue from existing client cohorts.,Cohort revenue trend for this partner's clients.,Cohort revenue trend for the partner's clients.,Deepen relationships so cohorts expand.,Not directly measured | rolls up.,Rolls up.,—
Client and matter,Wallet share (estimated),"Estimated % of a client's spend in a practice that LKS holds, plus YoY direction (grew/held/shrank). Denominator is an estimate from relationship intelligence, not a system figure; treat direction as more reliable than the absolute.",Relationship-partner estimate of LKS share of client's practice spend + panel/feedback intelligence; record YoY direction.,Grow share of each key client's relevant legal spend.,"Estimated wallet share across the equity partner's key clients, with YoY direction.",Estimated share across the partner's key clients + YoY direction.,Expand share within key relationships.,"Estimated wallet share on this partner's key clients, with YoY direction.",Estimated share on the partner's key clients + YoY direction.,Win a larger share of client mandates.,Not directly measured | rolls up.,Rolls up.,—
Client and matter,Repeat-client revenue share,"Revenue from returning vs new clients, firm-wide.",Finance + CRM: revenue from existing vs new clients.,Grow recurring revenue base.,Repeat revenue within the partner-owner's book.,"Same, within the partner's book.",Deepen existing relationships into recurring work.,Repeat work on this partner's client matters.,Repeat work on the partner's client matters.,Turn one-off matters into ongoing relationships.,Proxy: share of work on repeat-client matters.,Share of own work on repeat-client matters.,Contribute to relationships that generate repeat work.
Client and matter,Client concentration,Revenue dependence on top clients; firm risk measure.,Finance: revenue share of top 5/10 clients.,Diversify the client base to manage risk.,Concentration within the partner-owner's book.,Concentration within the partner's book.,Avoid over-reliance on a single client.,Concentration across this partner's clients.,Concentration across the partner's clients.,Broaden the relationship portfolio.,Proxy: spread of matters across clients/practices worked.,Spread of own matters across clients/practices.,"Build broad experience, not single-client dependence."
Client and matter,Matter-level profitability,"Profit per matter after cost of time/disbursements, firm-wide.",Matter accounting: matter revenue minus attributed cost.,Kill or reprice chronically unprofitable matter types.,Profitability of matters in the partner-owner's book.,Across the partner's book.,Own pricing and staffing for profitable outcomes.,Profitability of matters this partner runs.,On matters the partner runs.,Staff and scope matters to protect margin.,Proxy: efficiency vs budget on assigned tasks.,Efficiency vs budgeted hours on assigned tasks.,Deliver tasks within budgeted hours.
Client and matter,Net Promoter Score / client feedback,Firm-wide structured client satisfaction.,"Post-matter client survey (NPS instrument), firm aggregate.",Lift overall client advocacy.,Feedback scores across the partner-owner's clients.,Feedback across the partner's clients.,Own the senior client experience.,Feedback on matters this partner leads.,Feedback on matters the partner leads.,Manage delivery to high satisfaction.,Proxy: supervisor/client feedback on own work.,Supervisor/client feedback on own work.,Produce work that earns positive feedback.
Client and matter,New client acquisition cost,"Cost to win a new client, firm-wide.",BD/marketing spend / new clients acquired.,Make BD spend efficient.,Cost/effort to win clients into the partner-owner's book.,BD effort vs new clients into the partner's book.,Convert BD investment into a growing book.,BD effort vs new clients brought to matters.,BD effort vs new clients brought to matters.,Support origination cost-effectively.,Proxy: contribution to BD/pitch support activity.,Logged contribution to BD/pitch activity.,Contribute usefully to pitches and proposals.
Client and matter,Cross-selling rate,"Clients using more than one practice area, firm-wide.",CRM: clients with matters across multiple practices.,Increase cross-practice penetration.,Cross-sell across the partner-owner's clients.,Cross-sell across the partner's clients.,Introduce clients to other practices.,Cross-referrals this partner initiates.,Cross-referrals the partner initiates.,Spot and pass cross-practice opportunities.,Proxy: cross-practice opportunities flagged.,Cross-practice opportunities flagged.,Notice and escalate cross-sell openings.
People and operations,Attrition / retention,"Departures vs headcount, firm-wide (esp. associates).",HR: leavers / average headcount.,Reduce regrettable attrition.,Retention within the partner-owner's team.,Attrition within the partner's team.,Build a team people want to stay in.,Retention of associates this partner supervises.,Retention of supervised associates.,Mentor and retain junior talent.,Proxy: own tenure and engagement signal.,Own tenure and engagement signal.,Stay engaged; raise issues constructively.
People and operations,Time-to-productivity,"How fast new hires reach billable targets, firm-wide.",HR + time system: months for new hires to hit target utilisation.,Shorten ramp-up for new joiners.,Ramp-up of new joiners into the partner-owner's team.,Ramp-up of new joiners in the team.,Onboard effectively into the practice.,Ramp-up of associates this partner brings on.,Ramp-up of associates the partner brings on.,Train juniors to productivity quickly.,Proxy: own ramp / skills-progression pace.,Own ramp/skills-progression pace.,Reach competence and target promptly.
